UPSRTC_link,UPSRTC_route
https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly (Uttar Pradesh)
https://www.redbus.in/bus-tickets/delhi-to-lucknow,Delhi to Lucknow
https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly (Uttar Pradesh) to Delhi
https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur,Lucknow to Gorakhpur (uttar pradesh)
https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
https://www.redbus.in/bus-tickets/lucknow-to-allahabad,Lucknow to Prayagraj(Uttar Pradesh)
https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
https://www.redbus.in/bus-tickets/allahabad-to-lucknow,Prayagraj(Uttar Pradesh) to Lucknow
https://www.redbus.in/bus-tickets/delhi-to-farrukhabad-up,Delhi to Farrukhabad (Uttar Pradesh)
https://www.redbus.in/bus-tickets/delhi-to-sitapur,Delhi to Sitapur (Uttar Pradesh)
https://www.redbus.in/bus-tickets/agra-to-lucknow,Agra to Lucknow
https://www.redbus.in/bus-tickets/delhi-to-gorakhpur,Delhi to Gorakhpur (uttar pradesh)
https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi,Farrukhabad (Uttar Pradesh) to Delhi
https://www.redbus.in/bus-tickets/lucknow-to-varanasi,Lucknow to Varanasi
https://www.redbus.in/bus-tickets/delhi-to-moradabad,Delhi to Moradabad
https://www.redbus.in/bus-tickets/lucknow-to-ballia,Lucknow to Ballia (Uttar Pradesh)
https://www.redbus.in/bus-tickets/aligarh-to-lucknow,Aligarh (uttar pradesh) to Lucknow
https://www.redbus.in/bus-tickets/moradabad-to-delhi,Moradabad to Delhi
https://www.redbus.in/bus-tickets/sitapur-to-delhi,Sitapur (Uttar Pradesh) to Delhi
https://www.redbus.in/bus-tickets/delhi-to-shahjahanpur,Delhi to Shahjahanpur (Uttar Pradesh)
https://www.redbus.in/bus-tickets/greater-noida-to-lucknow,Greater noida (uttar pradesh) to Lucknow
https://www.redbus.in/bus-tickets/kanpur-to-varanasi,Kanpur (Uttar Pradesh) to Varanasi
https://www.redbus.in/bus-tickets/gorakhpur-to-lucknow,Gorakhpur (uttar pradesh) to Lucknow
https://www.redbus.in/bus-tickets/delhi-to-agra,Delhi to Agra
https://www.redbus.in/bus-tickets/delhi-to-badaun,Delhi to Badaun
https://www.redbus.in/bus-tickets/delhi-to-kanpur,Delhi to Kanpur (Uttar Pradesh)
https://www.redbus.in/bus-tickets/delhi-to-pilibhit,Delhi to Pilibhit
https://www.redbus.in/bus-tickets/lucknow-to-mathura,Lucknow to Mathura
https://www.redbus.in/bus-tickets/kanpur-to-bareilly,Kanpur (Uttar Pradesh) to Bareilly (Uttar Pradesh)
https://www.redbus.in/bus-tickets/bareilly-to-lucknow,Bareilly (Uttar Pradesh) to Lucknow
https://www.redbus.in/bus-tickets/dehradun-to-bareilly,Dehradun to Bareilly (Uttar Pradesh)
https://www.redbus.in/bus-tickets/badaun-to-delhi,Badaun to Delhi
https://www.redbus.in/bus-tickets/agra-to-bareilly,Agra to Bareilly (Uttar Pradesh)
https://www.redbus.in/bus-tickets/ballia-to-lucknow,Ballia (Uttar Pradesh) to Lucknow
https://www.redbus.in/bus-tickets/delhi-to-kotdwar-uttarakhand,Delhi to Kotdwar (Uttarakhand)
https://www.redbus.in/bus-tickets/lucknow-to-agra,Lucknow to Agra
https://www.redbus.in/bus-tickets/agra-to-delhi,Agra to Delhi
https://www.redbus.in/bus-tickets/gorakhpur-to-delhi,Gorakhpur (uttar pradesh) to Delhi
https://www.redbus.in/bus-tickets/bareilly-to-dehradun,Bareilly (Uttar Pradesh) to Dehradun
https://www.redbus.in/bus-tickets/jhansi-to-kanpur,Jhansi(Uttar Pradesh) to Kanpur (Uttar Pradesh)
https://www.redbus.in/bus-tickets/mathura-to-lucknow,Mathura to Lucknow
https://www.redbus.in/bus-tickets/varanasi-to-lucknow,Varanasi to Lucknow
https://www.redbus.in/bus-tickets/lucknow-to-bareilly,Lucknow to Bareilly (Uttar Pradesh)
https://www.redbus.in/bus-tickets/bareilly-to-agra,Bareilly (Uttar Pradesh) to Agra
https://www.redbus.in/bus-tickets/delhi-to-haldwani,Delhi to Haldwani
https://www.redbus.in/bus-tickets/allahabad-to-azamgarh,Prayagraj(Uttar Pradesh) to Azamgarh
https://www.redbus.in/bus-tickets/shahjahanpur-to-delhi,Shahjahanpur (Uttar Pradesh) to Delhi
